epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7309.98,0.93919,0.50453,1.01965,0.88727,0.82855,0.86133,0.52245,1.40456,0.82841,1.33622,0.0003368,0.0003368,0.0003368
86,7398.38,0.88209,0.4923,0.99348,0.9078,0.82915,0.86191,0.52055,1.38548,0.84979,1.33637,0.000317,0.000317,0.000317
87,7486.82,0.90945,0.51209,0.99351,0.935,0.77895,0.86117,0.51048,1.41233,0.84413,1.33573,0.0002972,0.0002972,0.0002972
88,7575.78,0.91191,0.50477,1.01859,0.90683,0.8196,0.8592,0.51319,1.41869,0.85487,1.34168,0.0002774,0.0002774,0.0002774
89,7664.05,0.92386,0.50578,1.00049,0.89153,0.8652,0.86999,0.52901,1.40335,0.83471,1.33582,0.0002576,0.0002576,0.0002576
90,7753.69,0.91097,0.49285,0.99679,0.9142,0.87368,0.88463,0.52426,1.3901,0.80353,1.33239,0.0002378,0.0002378,0.0002378
91,7842.51,0.87739,0.48627,1.00538,0.92914,0.82817,0.87996,0.51623,1.41561,0.8098,1.34194,0.000218,0.000218,0.000218
92,7930.49,0.88839,0.46824,1.01593,0.86201,0.86316,0.87199,0.51711,1.39049,0.7943,1.33882,0.0001982,0.0001982,0.0001982
93,8018.72,0.852,0.45489,0.98215,0.8816,0.86218,0.87819,0.5242,1.39109,0.78125,1.34338,0.0001784,0.0001784,0.0001784
94,8106.97,0.86668,0.44842,0.9695,0.93892,0.80904,0.86986,0.53055,1.38942,0.7993,1.33326,0.0001586,0.0001586,0.0001586
95,8195.75,0.83361,0.44546,0.99258,0.93609,0.81053,0.8579,0.52316,1.38333,0.81682,1.32599,0.0001388,0.0001388,0.0001388
96,8282.45,0.8401,0.44704,0.98356,0.93536,0.8,0.85559,0.51553,1.39567,0.81918,1.3302,0.000119,0.000119,0.000119
97,8370.18,0.83297,0.4436,0.97797,0.91917,0.8,0.85914,0.51668,1.40035,0.83553,1.328,9.92e-05,9.92e-05,9.92e-05
98,8457.99,0.84575,0.43435,0.98075,0.91907,0.8,0.85736,0.51611,1.40574,0.84565,1.33237,7.94e-05,7.94e-05,7.94e-05
99,8545.87,0.80235,0.42965,0.98732,0.92625,0.79322,0.86532,0.52032,1.40493,0.84066,1.33581,5.96e-05,5.96e-05,5.96e-05
100,8634.08,0.85995,0.43215,0.98837,0.89725,0.82734,0.85915,0.51622,1.39984,0.82893,1.33034,3.98e-05,3.98e-05,3.98e-05
